U_gain	E_gain	flash_ratio	ram_ratio	ccm_ratio	72c	24c	48c	48f	24f	72f
0.15151426749628047	0.30376145275601035	0.00510546875	0.0833	0.802875	0.75	0.125	0	0.125	0	0
0.0650058204630255	0.2077961676819104	0.00968359375	0.03005	0.62775	0.625	0	0	0.25	0.125	0
0.092146234483481	0.23398755307969588	0.013125	0.202925	0.961875	0.625	0	0	0.25	0.125	0
0.49663401060581136	0.4302693543234866	0.0	0.299775	0.993875	1.0	0	0	0	0	0
0.30800485864672394	0.31684433988583327	0.0	0.319975	0.854	0.125	0.875	0	0	0	0
0.02443703282858097	0.1528773202725261	0.00116796875	0.1196	0.752875	0.75	0.125	0	0.125	0	0
0.16643872321664463	0.19727398857144077	0.0	0.0	0.8515	0.25	0.75	0	0	0	0
0.1030087238740101	0.21744600359558364	0.0049140625	0.1198	0.861375	0.875	0	0	0.125	0	0
0.051519394575853	0.243404734959794	0.00358203125	0.0118	0.755	0.625	0.125	0	0.25	0	0
0.0003204601609484407	0.0809710134597152	0.0152265625	0.0	0.33275	0.5	0	0	0.5	0	0
0.04921656405054593	0.08523102989575781	0.004984375	0.0	0.907125	0.75	0.125	0	0.125	0	0
0.01110362774631627	0.06244227326106933	0.0	0.0	0.746625	0.25	0.75	0	0	0	0
0.29769511842297947	0.28163024188806896	0.0	0.0433	0.875125	0.875	0.125	0	0	0	0
0.32840090690850904	0.30002033216753987	0.0063984375	0.22295	0.929375	0.625	0.125	0	0.25	0	0
0.04780301690927215	0.18386823228097668	0.0	0.172	0.906625	0.5	0.5	0	0	0	0
0.0045827171414733955	0.17573295861477953	0.00640234375	0.0	0.410625	0.625	0.125	0	0.125	0.125	0
0.012654769112076737	0.049528804216254406	0.0051484375	0.0	0.51975	0.75	0	0	0.25	0	0
0.03392623188550737	0.13927637771399942	0.00628125	0.0	0.99725	0.25	0.625	0	0.125	0	0
0.30885514157041033	0.27557255165557454	0.00551171875	0.13755	0.990125	0.75	0	0	0.125	0.125	0
0.2588769624344465	0.27852190250488434	0.0	0.382125	0.96175	0.875	0.125	0	0	0	0
0.2924425307313009	0.2565203007572126	0.0	0.1311	0.9855	1.0	0	0	0	0	0
0.0736316326394537	0.159935003279665	0.00401171875	0.0	0.791375	0.75	0.125	0	0.125	0	0
0.24547135294763148	0.2705883523492269	0.0	0.197975	0.498	0.25	0.75	0	0	0	0
0.1255237778879741	0.20606056548083018	0.0118671875	0.0	0.91075	0.75	0	0	0.25	0	0
0.13614194868942336	0.17153842447693707	0.0	0.0	0.81625	0.875	0.125	0	0	0	0
0.04195337957779936	0.12187216714533644	0.0	0.0	0.852875	0.25	0.75	0	0	0	0
0.007609791876776377	0.15304699431662114	0.0	0.0	0.872625	0.875	0.125	0	0	0	0
0.1280059897540755	0.19542712768777426	0.0070234375	0.036075	0.89275	0.75	0	0	0.125	0.125	0
0.0015619543265884969	0.17508201549524882	0.0080234375	0.38245	0.62975	0.5	0.125	0	0.375	0	0
0.13194300708869133	0.23391155918387282	0.0	0.095675	0.791	0.375	0.625	0	0	0	0
0.4953317028205997	0.43864114073726346	0.01078125	0.3283	0.96075	0.75	0	0	0.125	0.125	0
0.0034357518530882163	0.14007115061672934	0.0003125	0.06865	0.718375	0.25	0.625	0	0.125	0	0
0.023284240771828627	0.2398921411666459	0.002140625	0.033225	0.9815	0.625	0.25	0	0.125	0	0
0.33522948644305306	0.29164335375555706	0.00304296875	0.203175	0.939875	0.875	0	0	0.125	0	0
0.11978346210586842	0.23074628270207873	0.00213671875	0.0	0.8685	0.625	0.25	0	0.125	0	0
0.04252594282520509	0.16039238225261523	0.00453125	0.118825	0.96775	0.75	0.125	0	0.125	0	0
0.1869302649000314	0.21977608586939745	0.00384375	0.1861	0.899875	0.75	0.125	0	0.125	0	0
0.28781772086069063	0.30327186796237504	0.004609375	0.039475	0.68325	0.875	0	0	0.125	0	0
0.13081042221024033	0.2243285146881559	0.0095625	0.0	0.76625	0.125	0.625	0	0.25	0	0
0.21681462603959023	0.29043542635851655	0.0029296875	0.3793	0.979125	0.75	0.125	0	0.125	0	0
0.2693462873335358	0.24890339966592354	0.0	0.128425	0.889125	0.875	0.125	0	0	0	0
0.11889147131757832	0.20575089846766156	0.0	0.143775	0.76675	0.625	0.375	0	0	0	0
0.29057435661515224	0.2939788912903355	0.0	0.13415	0.87025	0.125	0.875	0	0	0	0
0.20787410969356407	0.3249263802129622	0.000390625	0.149625	0.8685	0.625	0.25	0	0.125	0	0
0.0011573890338430193	0.12453992754597795	0.00400390625	0.0	0.644625	0.75	0.125	0	0.125	0	0
0.01731129826085358	0.14285274197955514	0.0040625	0.0699	0.766375	0.25	0.625	0	0.125	0	0
0.02799758861808697	0.11631028670238497	0.00483984375	0.0	0.72325	0.5	0.375	0	0.125	0	0
0.1765262324457223	0.3120896025890836	0.00228125	0.081575	0.5315	0.75	0.125	0	0.125	0	0
0.3241759463003712	0.29323248097959215	0.0	0.15425	0.708	0.75	0.25	0	0	0	0
0.09480554404219944	0.17421821628025635	0.00600390625	0.0	0.941375	0.75	0	0	0.25	0	0
0.4520119791450856	0.403701167747555	0.00463671875	0.18785	0.952	0.875	0	0	0.125	0	0
0.12475640297302955	0.173451143036132	0.0029921875	0.156525	0.842375	0.875	0	0	0.125	0	0
0.23610581503926356	0.22102111787379572	0.0059453125	0.279275	0.8745	0.875	0	0	0.125	0	0
0.09828049416381432	0.10672053610158025	0.0	0.11535	0.978125	1.0	0	0	0	0	0
0.24356420750197993	0.2527522955191913	0.0014765625	0.0647	0.865625	0.875	0	0	0.125	0	0
0.2732109271035618	0.2474089745261123	0.0	0.1464	0.98625	0.75	0.25	0	0	0	0
0.0017271828900943893	0.0890233568414495	0.01509765625	0.0	0.38275	0.5	0	0	0.375	0.125	0
0.015158183453283954	0.12480381010758732	0.0031640625	0.0	0.803375	0.75	0.125	0	0.125	0	0
0.36071089059197525	0.32027330897695455	0.0037734375	0.17225	0.88475	0.875	0	0	0.125	0	0
0.3608892363743158	0.33204828927437596	0.0046953125	0.30775	0.932125	0.875	0	0	0.125	0	0
0.037107942498233105	0.22975835200109487	0.00601171875	0.13145	0.833625	0.875	0	0	0.125	0	0
0.17476045412407906	0.25567789764412213	0.00930859375	0.0	0.671125	0.625	0.125	0	0.25	0	0
0.09763211149392123	0.2559851062999999	0.0009609375	0.034075	0.878375	0.625	0.25	0	0.125	0	0
0.016204134493375624	0.0968609045233811	0.00663671875	0.0	0.56475	0.75	0	0	0.125	0.125	0
0.0010151776501345923	0.11591726810746118	0.01034375	0.0	0.436	0.625	0.125	0	0.125	0.125	0
0.06467970366381365	0.193087654430855	0.00302734375	0.1114	0.99225	0.625	0.25	0	0.125	0	0
0.03597026651116872	0.19344460772712543	0.0038359375	0.0	0.9065	0.625	0.25	0	0.125	0	0
0.3558738672369165	0.31699450959848674	0.0	0.432725	0.581	0.375	0.625	0	0	0	0
0.012712543283736864	0.16236177810496574	0.0004921875	0.1367	0.7115	0.5	0.375	0	0.125	0	0
0.15052374966141377	0.2318934364741018	0.0049375	0.0968	0.888	0.25	0.625	0	0.125	0	0
0.15559824483179635	0.21556263766368658	0.0088046875	0.0	0.974375	0.75	0	0	0.25	0	0
0.07680452885670865	0.20088383230407153	0.0012734375	0.08125	0.704375	0.75	0.125	0	0.125	0	0
0.3091280769116289	0.30011168407288247	0.00172265625	0.091125	0.9965	0.875	0	0	0.125	0	0
0.21507495296423282	0.23546705777102836	0.0	0.0	0.936	0.75	0.25	0	0	0	0
0.014050705253883538	0.20614528607723223	0.0038046875	0.120325	0.904125	0.875	0	0	0.125	0	0
0.005591037512893114	0.14932829290317787	0.00319140625	0.105075	0.6235	0.875	0	0	0.125	0	0
0.17116777971571062	0.16529617747752579	0.0	0.163625	0.9435	0.75	0.25	0	0	0	0
0.023425295439410673	0.1829336198774647	0.00243359375	0.14625	0.94875	0.625	0.25	0	0.125	0	0
